organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Alicycliphilus sp.,Alicycliphilus,1,['PU'],4.55,99.61,10.0,0,28.27,2007.0,False,True
Janthinobacterium sp.,Janthinobacterium,1,['PVA'],4.55,99.61,10.0,0,28.27,2007.0,False,True
Aspergillus fischeri,Aspergillus,2,"['LDPE', 'PCL']",9.09,30.18,90.0,0,28.27,2023.0,False,True
Pseudomonas oryzihabitans,Pseudomonas,4,"['HDPE', 'LDPE', 'PET', 'PP']",18.18,19.13,90.0,0,28.24,2023.0,False,False
Pseudomonas aestusnigri,Pseudomonas,4,"['PCL', 'PET', 'PP', 'PU']",18.18,19.13,90.0,0,28.24,2023.0,True,True
Kocuria sp.,Kocuria,1,['Nylon'],4.55,99.21,10.0,0,28.17,2007.0,True,True
Geomyces pannorum,Geomyces,1,['PU'],4.55,98.82,10.0,0,28.07,2007.0,False,True
Bacillus vietnamensis,Bacillus,2,"['LDPE', 'PHA']",9.09,29.39,90.0,0,28.07,2023.0,False,True
Bacillus velezensis,Bacillus,2,"['PBAT', 'PU']",9.09,29.39,90.0,0,28.07,2023.0,True,True
Bacillus megaterium,Bacillus,2,"['LDPE', 'PHB']",9.09,29.39,90.0,0,28.07,2023.0,False,False
Amycolatopsis orientalis,Amycolatopsis,4,"['PBS', 'PCL', 'PHB', 'PLA']",18.18,78.3,15.0,0,28.03,2008.0,True,True
Streptomyces roseolus,Streptomyces,5,"['P3HP', 'PCL', 'PHB', 'PHBV', 'PHO']",22.73,56.61,35.0,0,27.97,2012.0,False,True
Brevundimonas vesicularis,Brevundimonas,1,['Nylon'],4.55,98.42,10.0,0,27.97,2007.0,False,True
Streptomyces omiyaensis,Streptomyces,5,"['P3HP', 'PCL', 'PHB', 'PHBV', 'PHO']",22.73,56.61,35.0,0,27.97,2012.0,False,True
Streptomyces anulatus,Streptomyces,5,"['P3HP', 'PCL', 'PHB', 'PHBV', 'PHO']",22.73,56.61,35.0,0,27.97,2012.0,False,True
Aspergillus sydowii,Aspergillus,3,"['PE', 'PU', 'PVC']",13.64,30.18,80.0,0,27.64,2021.0,False,True
Aspergillus awamori,Aspergillus,3,"['PE', 'PLA', 'PU']",13.64,30.18,80.0,0,27.64,2021.0,False,True
Azospirillum brasilense,Azospirillum,2,"['PHA', 'PHB']",9.09,99.21,0.0,0,27.53,2003.0,True,True
Matsuebacter chitosanotabidus,Matsuebacter,2,"['PCL', 'PHA']",9.09,99.21,0.0,0,27.53,1998.0,False,True
Caenibacterium thermophilum,Caenibacterium,2,"['PHB', 'PHV']",9.09,99.21,0.0,0,27.53,2004.0,False,True
Streptomyces polychromogenes,Streptomyces,1,['PHB'],4.55,56.61,60.0,0,27.52,2017.0,False,True
Caldimonas manganoxidans,Caldimonas,2,"['PHA', 'PHB']",9.09,98.82,0.0,0,27.43,2002.0,True,True
Strain IZU-154,Strain,2,"['Nylon', 'PE']",9.09,98.82,0.0,0,27.43,1999.0,False,True
Vibrio furnisii,Vibrio,1,['Nylon'],4.55,96.06,10.0,0,27.38,2007.0,False,True
Geobacillus thermocatenulatus,Geobacillus,2,"['Nylon', 'PLA']",9.09,98.42,0.0,0,27.33,2004.0,False,True
Aspergillus glaucus,Aspergillus,2,"['PE', 'PVC']",9.09,30.18,85.0,0,27.27,2022.0,False,True
Sphingomonas sp.,Sphingomonas,2,"['O-PVA', 'PVA']",9.09,98.03,0.0,0,27.23,2005.0,True,True
Nocardia asteroides,Nocardia,1,['PE'],4.55,99.21,5.0,0,27.17,2006.0,False,True
Bacillus aryabhattai,Bacillus,2,"['HDPE', 'PHB']",9.09,29.39,85.0,0,27.07,2022.0,False,True
Bacillus pseudomycoides,Bacillus,2,"['PET', 'PHB']",9.09,29.39,85.0,0,27.07,2022.0,False,True
Bacillus sp. SB14,Bacillus,2,"['LLDPE', 'PES']",9.09,29.39,85.0,0,27.07,2022.0,False,False
Mortierella alpina,Mortierella,1,['PE'],4.55,98.42,5.0,0,26.97,2006.0,False,True
Amycolatopsis thailandensis,Amycolatopsis,1,['PLA'],4.55,78.3,30.0,0,26.94,2011.0,False,True
Paecilomyces lilacinus,Paecilomyces,1,['PHBV'],4.55,98.03,5.0,0,26.87,2006.0,False,True
Clostridium acetobutylicum,Clostridium,2,"['PCL', 'PHBV']",9.09,96.45,0.0,0,26.84,2001.0,False,True
Schlegelella sp.,Schlegelella,2,"['PHA', 'PHB']",9.09,96.06,0.0,0,26.74,2004.0,True,True
Rhodococcus erythropolis,Rhodococcus,1,['LDPE'],4.55,85.4,20.0,0,26.71,2009.0,False,True
Bacillus safensis,Bacillus,1,['PLA'],4.55,29.39,90.0,0,26.71,2023.0,False,False
Bacillus thermoruber,Bacillus,1,['PCL'],4.55,29.39,90.0,0,26.71,2023.0,False,True
Rhizopus delemar,Rhizopus,2,"['PET', 'PU']",9.09,95.66,0.0,0,26.64,1997.0,False,True
Acinetobacter junii,Acinetobacter,3,"['PCL', 'PHC', 'PTS']",13.64,90.14,0.0,0,26.63,1998.0,False,True
Streptomyces pulveraceus,Streptomyces,4,"['PCL', 'PHB', 'PHBV', 'PHO']",18.18,56.61,35.0,0,26.61,2012.0,False,True
Streptomyces atratus,Streptomyces,4,"['P3HP', 'PHB', 'PHBV', 'PHO']",18.18,56.61,35.0,0,26.61,2012.0,False,True
Streptomyces beijiangensis,Streptomyces,4,"['PCL', 'PHB', 'PHBV', 'PHO']",18.18,56.61,35.0,0,26.61,2012.0,False,True
Acidovorax avenae,Acidovorax,2,"['PBSA', 'PCL']",9.09,95.27,0.0,0,26.54,2000.0,False,True
Leptobacillium leptobactrum,Leptobacillium,1,['PHB'],4.55,99.61,0.0,0,26.27,1994.0,False,True
Rhodoferax fermentans,Rhodoferax,1,['PHA'],4.55,99.61,0.0,0,26.27,1998.0,False,True
Gliocladium roseum,Gliocladium,1,['PCL'],4.55,99.61,0.0,0,26.27,1987.0,False,True
Cunninghamella sp.,Cunninghamella,1,['PBSA'],4.55,99.61,0.0,0,26.27,1999.0,False,True
Tritirachium album,Tritirachium,1,['PLA'],4.55,99.61,0.0,0,26.27,2005.0,False,True
Terracoccus luteus,Terracoccus,1,['PHA'],4.55,99.61,0.0,0,26.27,1998.0,False,True
Bacteroides sp.,Bacteroides,1,['PEG'],4.55,99.61,0.0,0,26.27,1986.0,False,True
Terrabacter tumescens,Terrabacter,1,['PHA'],4.55,99.61,0.0,0,26.27,1998.0,False,True
Acetobacterium sp.,Acetobacterium,1,['PEG'],4.55,99.61,0.0,0,26.27,1991.0,False,True
Streptoalloteichus hindustanus,Streptoalloteichus,1,['PLA'],4.55,99.61,0.0,0,26.27,2002.0,False,True
Propionispora sp.,Propionispora,1,['PCL'],4.55,99.61,0.0,0,26.27,2004.0,False,True
Aspergillus tamarii,Aspergillus,2,"['PET', 'PU']",9.09,30.18,80.0,0,26.27,2021.0,False,True
Chryseomonas luteola,Chryseomonas,1,['PHB'],4.55,99.61,0.0,0,26.27,1999.0,False,True
Desulfovibrio desulfuricans,Desulfovibrio,1,['PEG'],4.55,99.61,0.0,0,26.27,1986.0,False,True
Pelobacter venetianus,Pelobacter,1,['PEG'],4.55,99.61,0.0,0,26.27,1992.0,False,True
Rasamsonia argillacea,Rasamsonia,1,['PCL'],4.55,99.61,0.0,0,26.27,2000.0,False,True
Lentzea albidocapillata,Lentzea,1,['PLA'],4.55,99.21,0.0,0,26.17,2002.0,False,True
Steroidobacter cummioxidans,Steroidobacter,1,['NR'],4.55,99.21,0.0,0,26.17,1990.0,True,True
Inonotus circinatus,Inonotus,1,['PHB'],4.55,99.21,0.0,0,26.17,1992.0,False,True
Lederbergia lenta,Lederbergia,1,['PLA'],4.55,99.21,0.0,0,26.17,2000.0,True,True
Pseudomonas fluvialis,Pseudomonas,1,['PET'],4.55,19.13,100.0,0,26.15,2025.0,True,True
Pseudomonas subflava,Pseudomonas,1,['PET'],4.55,19.13,100.0,0,26.15,2025.0,True,True
Thermomyces dupontii,Thermomyces,1,['PCL'],4.55,98.82,0.0,0,26.07,2000.0,False,True
Kibdelosporangium aridum,Kibdelosporangium,1,['PLA'],4.55,98.82,0.0,0,26.07,2003.0,False,True
Paenarthrobacter ureafaciens,Paenarthrobacter,1,['Nylon'],4.55,98.82,0.0,0,26.07,1975.0,True,True
Metarhizium marquandii,Metarhizium,1,['PHB'],4.55,98.82,0.0,0,26.07,1992.0,False,True
Sarocladium kiliense,Sarocladium,1,['LDPE'],4.55,98.82,0.0,0,26.07,1988.0,False,True
Aspergillus keveii,Aspergillus,1,['PVA'],4.55,30.18,85.0,0,25.91,2022.0,False,False
Aspergillus tritici,Aspergillus,1,['PCL'],4.55,30.18,85.0,0,25.91,2022.0,False,False
Aspergillus ochraceus,Aspergillus,1,['PCL'],4.55,30.18,85.0,0,25.91,2022.0,False,False
Curvularia protuberata,Curvularia,1,['PETG'],4.55,98.03,0.0,0,25.87,2000.0,False,True
Curvularia senegalensis,Curvularia,1,['PU'],4.55,98.03,0.0,0,25.87,1994.0,False,True
Sphingomonas macrogoltabidus,Sphingomonas,1,['PEG'],4.55,98.03,0.0,0,25.87,2005.0,True,True
Rhodotorula sphaerocarpa,Rhodotorula,1,['PHB'],4.55,97.63,0.0,0,25.77,2000.0,False,True
Cordyceps confragosa,Cordyceps,1,['LDPE'],4.55,97.63,0.0,0,25.77,1988.0,False,True
Bacillus subterraneus,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus aquimaris,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus zanthoxyli,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,True
Bacillus paramycoides,Bacillus,1,['PBAT'],4.55,29.39,85.0,0,25.71,2022.0,False,True
Bacillus infantis,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus hwajinpoensis,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus firmus,Bacillus,1,['PE'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus thioparans,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Bacillus pakistanensis,Bacillus,1,['PHB'],4.55,29.39,85.0,0,25.71,2022.0,False,False
Streptomyces lydicus,Streptomyces,1,['PHB'],4.55,56.61,50.0,0,25.52,2015.0,False,True
Pseudomonas lini,Pseudomonas,2,"['PS', 'PU']",9.09,19.13,90.0,0,25.51,2023.0,False,True
Rhizopus oligosporus,Rhizopus,1,['PLA'],4.55,95.66,0.0,0,25.28,1996.0,False,True
Burkholderia vietnamiensis,Burkholderia,1,['PTS'],4.55,95.27,0.0,0,25.18,1998.0,False,True
Saccharothrix syringae,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix texasensis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix mutabilis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix waywayandensis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2005.0,False,True
Saccharothrix longispora,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix cryophilis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix espanaensis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix australiensis,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Saccharothrix coeruleofusca,Saccharothrix,1,['PLA'],4.55,94.87,0.0,0,25.08,2002.0,False,True
Amycolatopsis alba,Amycolatopsis,4,"['PBS', 'PCL', 'PHB', 'PLA']",18.18,78.3,0.0,0,25.03,1999.0,False,True
Amycolatopsis fastidiosa,Amycolatopsis,4,"['PBS', 'PCL', 'PHB', 'PLA']",18.18,78.3,0.0,0,25.03,1999.0,False,True
Amycolatopsis mediterranei,Amycolatopsis,4,"['PBS', 'PCL', 'PHB', 'PLA']",18.18,78.3,0.0,0,25.03,1999.0,False,True
Amycolatopsis azurea,Amycolatopsis,4,"['PBS', 'PCL', 'PHB', 'PLA']",18.18,78.3,0.0,0,25.03,1999.0,False,True
Aspergillus giganteus,Aspergillus,1,['PU'],4.55,30.18,80.0,0,24.91,2021.0,False,True
Talaromyces pinophilus,Talaromyces,1,['PHB'],4.55,94.08,0.0,0,24.88,2000.0,False,True
Streptomyces ascomycinicus,Streptomyces,2,"['PHA', 'PHB']",9.09,56.61,40.0,0,24.88,2013.0,True,True
Talaromyces minioluteus,Talaromyces,1,['PHB'],4.55,94.08,0.0,0,24.88,2000.0,False,True
Bacillus gottheilii,Bacillus,4,"['PE', 'PET', 'PP', 'PS']",18.18,29.39,60.0,0,24.8,2017.0,False,True
Ralstonia eutropha,Ralstonia,1,['PHA'],4.55,93.69,0.0,0,24.79,1998.0,False,True
Bacillus atrophaeus,Bacillus,1,['PHA'],4.55,29.39,80.0,0,24.71,2021.0,False,True
Serratia rubidaea,Serratia,1,['PU'],4.55,92.9,0.0,0,24.59,1991.0,False,True
Trichoderma virens,Trichoderma,1,['LDPE'],4.55,92.5,0.0,0,24.49,2004.0,False,True
Pseudomonas pseudoalcaligenes,Pseudomonas,1,['PBAT'],4.55,19.13,90.0,0,24.15,2023.0,True,True
Pseudomonas plecoglossicida,Pseudomonas,1,['PS'],4.55,19.13,90.0,0,24.15,2023.0,False,False
Pseudomonas nitroreducens,Pseudomonas,1,['PS'],4.55,19.13,90.0,0,24.15,2023.0,False,False
Pseudomonas multiresinivorans,Pseudomonas,1,['PS'],4.55,19.13,90.0,0,24.15,2023.0,False,False
Enterobacter agglomerans,Enterobacter,1,['PU'],4.55,90.93,0.0,0,24.1,1991.0,False,True
Bacillus flexus,Bacillus,2,"['PP', 'PVC']",9.09,29.39,70.0,0,24.07,2019.0,False,True
Brevibacillus reuszeri,Brevibacillus,1,['PHA'],4.55,90.53,0.0,0,24.0,1998.0,False,True
Aspergillus udagawae,Aspergillus,1,['PBSA'],4.55,30.18,75.0,0,23.91,2020.0,False,True
Aspergillus brasiliensis,Aspergillus,1,['LDPE'],4.55,30.18,75.0,0,23.91,2020.0,False,True
Amycolatopsis methanolica,Amycolatopsis,3,"['PBS', 'PCL', 'PLA']",13.64,78.3,0.0,0,23.67,1999.0,False,True
Streptomyces thermoviolaceus,Streptomyces,1,['PCL'],4.55,56.61,40.0,0,23.52,2013.0,True,True
Pseudomonas capeferrum,Pseudomonas,1,['PU'],4.55,19.13,85.0,0,23.15,2022.0,False,True
Pseudomonas stutzeri,Pseudomonas,1,['HDPE'],4.55,19.13,85.0,0,23.15,2022.0,False,False
Pseudomonas tuomurensis,Pseudomonas,1,['HDPE'],4.55,19.13,85.0,0,23.15,2022.0,False,False
Bacillus niacini,Bacillus,1,['PVA'],4.55,29.39,70.0,0,22.71,2019.0,False,True
Streptomyces bangladeshensis,Streptomyces,1,['PHB'],4.55,56.61,35.0,0,22.52,2012.0,False,True
Pseudomonas pelagia,Pseudomonas,2,"['PCL', 'PU']",9.09,19.13,75.0,0,22.51,2020.0,False,True
Pseudomonas oceani,Pseudomonas,2,"['PCL', 'PU']",9.09,19.13,75.0,0,22.51,2020.0,False,True
Pseudomonas bauzanensis,Pseudomonas,2,"['PCL', 'PU']",9.09,19.13,75.0,0,22.51,2020.0,False,True
Pseudomonas litoralis,Pseudomonas,2,"['PCL', 'PU']",9.09,19.13,75.0,0,22.51,2020.0,False,True
Amycolatopsis rugosa,Amycolatopsis,2,"['PBS', 'PCL']",9.09,78.3,0.0,0,22.3,1999.0,False,True
Amycolatopsis coloradensis,Amycolatopsis,2,"['PCL', 'PLA']",9.09,78.3,0.0,0,22.3,1999.0,False,True
Amycolatopsis sulphurea,Amycolatopsis,2,"['PBS', 'PCL']",9.09,78.3,0.0,0,22.3,1999.0,False,True
Aspergillus versicolor,Aspergillus,2,"['PBSA', 'PCL']",9.09,30.18,60.0,0,22.27,2017.0,False,True
Pseudomonas frederiksbergensis,Pseudomonas,4,"['PBS', 'PBSA', 'PCL', 'PLA']",18.18,19.13,60.0,0,22.24,2017.0,False,True
Bacillus vallismortis,Bacillus,2,"['HDPE', 'LDPE']",9.09,29.39,60.0,0,22.07,2017.0,False,True
Aspergillus calidoustus,Aspergillus,1,['PLA'],4.55,30.18,65.0,0,21.91,2018.0,False,True
Aspergillus nomiae,Aspergillus,1,['LDPE'],4.55,30.18,65.0,0,21.91,2018.0,False,True
Bacillus idriensis,Bacillus,1,['PHB'],4.55,29.39,65.0,0,21.71,2018.0,False,True
Pseudomonas citronellolis,Pseudomonas,2,"['LDPE', 'PVC']",9.09,19.13,70.0,0,21.51,2019.0,False,True
Aspergillus clavatus,Aspergillus,2,"['LDPE', 'PES']",9.09,30.18,55.0,0,21.27,2016.0,False,True
Penicillium ochrochloron,Penicillium,2,"['PHB', 'PU']",9.09,73.96,0.0,0,21.22,2003.0,False,True
Pseudomonas protegens,Pseudomonas,3,"['HDPE', 'LDPE', 'PU']",13.64,19.13,60.0,0,20.87,2017.0,True,True
Penicillium glabrum,Penicillium,1,['PE Blend'],4.55,73.96,5.0,0,20.85,2006.0,False,True
Bacillus stratosphericus,Bacillus,1,['PES'],4.55,29.39,60.0,0,20.71,2017.0,False,True
Bacillus altitudinis,Bacillus,1,['PES'],4.55,29.39,60.0,0,20.71,2017.0,False,True
Streptomyces thermogriseus,Streptomyces,1,['PCL'],4.55,56.61,25.0,0,20.52,2010.0,False,True
Aspergillus foetidus,Aspergillus,2,"['PE', 'PLA']",9.09,30.18,50.0,0,20.27,2015.0,False,True
Penicillium daleae,Penicillium,1,['PHB'],4.55,73.96,0.0,0,19.85,1992.0,False,True
Penicillium janthinellum,Penicillium,1,['PHB'],4.55,73.96,0.0,0,19.85,1995.0,False,True
Penicillium chermesinum,Penicillium,1,['PHB'],4.55,73.96,0.0,0,19.85,1995.0,False,True
Penicillium adametzii,Penicillium,1,['PHB'],4.55,73.96,0.0,0,19.85,1992.0,False,True
Penicillium restrictum,Penicillium,1,['PHB'],4.55,73.96,0.0,0,19.85,1992.0,False,True
Pseudomonas oleovorans,Pseudomonas,2,"['PCL', 'PET']",9.09,19.13,60.0,0,19.51,2017.0,True,True
Pseudomonas monteilii,Pseudomonas,1,['LDPE'],4.55,19.13,65.0,0,19.15,2018.0,False,True
Pseudomonas pachastrellae,Pseudomonas,1,['PCL'],4.55,19.13,65.0,0,19.15,2018.0,False,True
Fusarium moniliforme,Fusarium,2,"['PCL', 'PLA']",9.09,62.92,0.0,0,18.46,1996.0,False,True
Pseudomonas mandelii,Pseudomonas,1,['PCL'],4.55,19.13,60.0,0,18.15,2017.0,False,True
Aspergillus japonicus,Aspergillus,1,['LDPE'],4.55,30.18,45.0,0,17.91,2014.0,False,True
Pseudomonas azotoformans,Pseudomonas,1,['PP'],4.55,19.13,55.0,0,17.15,2016.0,False,True
Fusarium redolens,Fusarium,1,['LDPE'],4.55,62.92,0.0,0,17.09,1990.0,False,True
Streptomyces griseus,Streptomyces,2,"['LDPE Blend', 'PE Blend']",9.09,56.61,0.0,0,16.88,1992.0,False,True
Streptomyces badius,Streptomyces,2,"['LDPE Blend', 'PE Blend']",9.09,56.61,0.0,0,16.88,1992.0,False,True
Streptomyces viridosporus,Streptomyces,2,"['LDPE Blend', 'PE Blend']",9.09,56.61,0.0,0,16.88,1992.0,False,True
Streptomyces thermonitrificans,Streptomyces,1,['PCL'],4.55,56.61,5.0,0,16.52,2006.0,False,True
Aspergillus nidulans,Aspergillus,2,"['LDPE', 'PLA']",9.09,30.18,30.0,0,16.27,2011.0,False,True
Streptomyces sp.,Streptomyces,1,['PHB'],4.55,56.61,0.0,0,15.52,1999.0,False,True
Streptomyces thermocarboxydovorans,Streptomyces,1,['PHB'],4.55,56.61,0.0,0,15.52,2004.0,False,True
Streptomyces thermovulgaris,Streptomyces,1,['PHB'],4.55,56.61,0.0,0,15.52,2004.0,False,True
Pseudomonas lemoignei,Pseudomonas,4,"['PCL', 'PHA', 'PHB', 'PHC']",18.18,19.13,25.0,0,15.24,2010.0,False,True
Pseudomonas otitidis,Pseudomonas,1,['PU'],4.55,19.13,45.0,0,15.15,2014.0,False,True
Bacillus mycoides,Bacillus,1,['LDPE'],4.55,29.39,30.0,0,14.71,2011.0,False,True
Bacillus thermoamylovorans,Bacillus,1,['PCL'],4.55,29.39,25.0,0,13.71,2010.0,False,True
Pseudomonas syringae,Pseudomonas,1,['LDPE'],4.55,19.13,35.0,0,13.15,2012.0,False,True
Pseudomonas beteli,Pseudomonas,1,['PHO'],4.55,19.13,35.0,0,13.15,2012.0,False,True
Aspergillus ustus,Aspergillus,3,"['PCL', 'PETG', 'PHB']",13.64,30.18,0.0,0,11.64,2000.0,False,True
Bacillus sphericus,Bacillus,1,['Nylon'],4.55,29.39,10.0,0,10.71,2007.0,False,True
Aspergillus penicillioides,Aspergillus,1,['PHB'],4.55,30.18,0.0,0,8.91,1992.0,False,True
Bacillus smithii,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,2001.0,False,True
Bacillus stearothermophilus,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,2003.0,False,True
Bacillus brevis,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,1999.0,False,True
Pseudomonas veronii,Pseudomonas,2,"['PCL', 'PHC']",9.09,19.13,0.0,0,7.51,1998.0,False,True
Pseudomonas pavonaceae,Pseudomonas,2,"['PCL', 'PHC']",9.09,19.13,0.0,0,7.51,1998.0,False,True
Pseudomonas vesicularis,Pseudomonas,1,['PVA'],4.55,19.13,0.0,0,6.15,1998.0,False,True
Pseudomonas indica,Pseudomonas,1,['P(3HB-co-3MP)'],4.55,19.13,0.0,0,6.15,2004.0,False,True
Pseudomonas amygdali,Pseudomonas,1,['PCL'],4.55,19.13,0.0,0,6.15,1998.0,False,True
Pseudomonas rhodesiae,Pseudomonas,1,['PCL'],4.55,19.13,0.0,0,6.15,1998.0,False,True
